code,industry_id,date,last_updated
300080,C020205,2010-06-25 00:00:00.000000,2017-12-15 08:40:47.919811
300082,C020101,2010-05-20 00:00:00.000000,2017-12-15 08:40:47.919811
300093,C020205,2010-07-08 00:00:00.000000,2017-12-15 08:40:47.919811
300107,C020101,2010-08-20 00:00:00.000000,2017-12-15 08:40:47.919811
300108,C020101,2010-08-25 00:00:00.000000,2017-12-15 08:40:47.919811
300109,C020102,2010-08-25 00:00:00.000000,2017-12-15 08:40:47.919811
300121,C020101,2010-09-17 00:00:00.000000,2017-12-15 08:40:47.919811
300132,C020101,2010-10-26 00:00:00.000000,2017-12-15 08:40:47.919811
300135,C020201,2010-10-26 00:00:00.000000,2017-12-15 08:40:47.919811
300160,C020205,2011-01-13 00:00:00.000000,2017-12-15 08:40:47.919811
300163,C020102,2011-01-13 00:00:00.000000,2017-12-15 08:40:47.919811
300169,C020102,2011-01-25 00:00:00.000000,2017-12-15 08:40:47.919811
300174,C020101,2011-02-01 00:00:00.000000,2017-12-15 08:40:47.919811
300179,C020205,2011-02-15 00:00:00.000000,2017-12-15 08:40:47.919811
300180,C020102,2011-02-22 00:00:00.000000,2017-12-15 08:40:47.919811
300192,C020102,2011-03-22 00:00:00.000000,2017-12-15 08:40:47.919811
300196,C020205,2011-03-29 00:00:00.000000,2017-12-15 08:40:47.919811
300200,C020101,2011-04-07 00:00:00.000000,2017-12-15 08:40:47.919811
300214,C020101,2011-05-11 00:00:00.000000,2017-12-15 08:40:47.919811
300218,C020102,2011-05-18 00:00:00.000000,2017-12-15 08:40:47.919811
300221,C020102,2011-05-25 00:00:00.000000,2017-12-15 08:40:47.919811
300225,C020102,2011-05-31 00:00:00.000000,2017-12-15 08:40:47.919811
300236,C020102,2011-06-29 00:00:00.000000,2017-12-15 08:40:47.919811
300237,C020205,2011-06-29 00:00:00.000000,2017-12-15 08:40:47.919811
300243,C020101,2011-07-12 00:00:00.000000,2017-12-15 08:40:47.919811
300261,C020103,2011-09-06 00:00:00.000000,2017-12-15 08:40:47.919811
300285,C020101,2012-01-13 00:00:00.000000,2017-12-15 08:40:47.919811
600005,C020203,1999-08-03 00:00:00.000000,2017-12-15 08:40:47.919811
600010,C020203,2001-03-09 00:00:00.000000,2017-12-15 08:40:47.919811
600019,C020203,2000-12-12 00:00:00.000000,2017-12-15 08:40:47.919811
600022,C020203,2004-06-29 00:00:00.000000,2017-12-15 08:40:47.919811
600063,C020102,1997-05-28 00:00:00.000000,2017-12-15 08:40:47.919811
