基金简称,持仓市值(万元),持仓股数(万股),与上期持仓股数变化(万股),占基金净值比例,占流通股比例
易方达新益混合E,360,6.5,新进,0.45%,0.00%
易方达新享混合A,343,6.18,新进,0.81%,0.00%
易方达瑞选混合I,28,0.5,新进,0.03%,0.00%
易方达瑞选混合E,28,0.5,新进,0.03%,0.00%
兴业聚丰灵活配置混合,83,1.5,新进,0.06%,0.00%
万家瑞旭混合A,72,1.3,新进,0.73%,0.00%
招商睿逸混合,231,4.16,新进,0.77%,0.00%
信达澳银新目标混合,277,5.0,新进,1.39%,0.00%
招商盛合灵活混合C,23,0.42,新进,0.37%,0.00%
中信建投智信物联网混合A,111,2.0,新进,2.04%,0.00%
招商丰盛稳定增长混合C,53,0.95,新进,0.29%,0.00%
中邮绝对收益策略定期开放混合发起式,104,1.87,新进,0.42%,0.00%
中欧双利债券A,333,6.0,新进,0.32%,0.00%
鹏华弘樽混合A,265,4.78,新进,1.16%,0.00%
上投摩根行业轮动混合H,509,9.19,新进,0.43%,0.00%
泰达宏利效率优选混合(LOF),1357,24.48,新进,1.40%,0.00%
诺德中小盘混合,222,4.0,新进,4.47%,0.00%
泰达宏利行业混合,400,7.22,新进,0.83%,0.00%
泰达宏利稳定混合,347,6.27,新进,2.57%,0.00%
益民核心增长混合,16,0.29,新进,2.09%,0.00%
银华回报灵活配置定期开放混合发起式,309,5.57,新进,0.79%,0.00%
南方盛元红利混合,2217,40.0,新进,2.35%,0.01%
银河创新成长混合,333,6.0,新进,1.16%,0.00%
北信瑞丰增强回报混合,9,0.17,新进,0.02%,0.00%
富国价值优势混合,1,0.01,新进,0.00%,0.00%
大成景穗灵活配置混合C,187,3.38,新进,0.75%,0.00%
银华优质增长混合,1888,34.06,新进,0.67%,0.01%
博时境源保本混合A,152,2.74,新进,0.10%,0.00%
博时沪深300指数C,5947,107.28,新进,1.02%,0.02%
长盛创新驱动混合,72,1.3,新进,0.34%,0.00%
博时保泽保本混合A,133,2.4,新进,0.09%,0.00%
博时保泽保本混合C,133,2.4,新进,0.09%,0.00%
长盛盛世混合C,116,2.1,新进,0.40%,0.00%
财通资管鑫逸混合C,340,6.13,新进,0.56%,0.00%
创金合信鑫安保本混合A,98,1.77,新进,0.12%,0.00%
博时银智大数据100指数C,55,1.0,新进,0.88%,0.00%
富国新活力灵活配置混合A,96,1.73,新进,0.55%,0.00%
财通资管鑫逸混合A,340,6.13,新进,0.56%,0.00%
安信新价值混合C,166,3.0,新进,0.45%,0.00%
创金合信鑫安保本混合C,98,1.77,新进,0.12%,0.00%
长信中证500指数,58,1.04,新进,0.19%,0.00%
富国新活力灵活配置混合C,96,1.73,新进,0.55%,0.00%
博时银智大数据100指数A,55,1.0,新进,0.88%,0.00%
中欧数据挖掘混合C,59,1.07,新进,0.44%,0.00%
中欧价值发现混合C,1352,24.39,新进,0.22%,0.00%
中银产业债定期开放债券(LOF),277,5.0,新进,0.43%,0.00%
宝盈新价值混合,2051,37.0,新进,1.62%,0.01%
中信建投智信物联网混合C,111,2.0,新进,2.04%,0.00%
信诚鼎利混合(LOF),277,5.0,新进,0.40%,0.00%
富国绝对收益多策略定期开放混合发起式,47,0.85,新进,0.36%,0.00%
中银优选混合,345,6.22,新进,1.06%,0.00%
宝盈科技30混合,6652,120.0,新进,2.60%,0.02%
中邮中小盘灵活配置混合,2772,50.0,新进,2.51%,0.01%
中证财通可持续发展100指数A,115,2.08,新进,1.15%,0.00%
鑫元鑫趋势混合A,55,1.0,新进,0.80%,0.00%
中金新安混合,15,0.27,新进,0.07%,0.00%
富国新兴产业股票,0,0.0,新进,0.00%,0.00%
兴全可转债混合,774,13.97,新进,0.27%,0.00%
长盛城镇化主题混合,166,3.0,新进,1.69%,0.00%
易方达中小盘混合,55,1.0,新进,0.01%,0.00%
易方达价值成长混合,12122,218.68,新进,1.87%,0.03%
易方达价值精选混合,1109,20.0,新进,0.37%,0.00%
新华钻石品质企业混合,111,2.0,新进,0.53%,0.00%
万家量化睿选混合,438,7.9,新进,1.07%,0.00%
招商沪深300高贝塔指数分级,22,0.39,新进,1.11%,0.00%
宝盈核心优势混合C,554,10.0,新进,0.45%,0.00%
